node_id,node_name
IND602001AAB,Kumbakonam_Mettu_DC (Tamil Nadu)
IND609001AAA,Mylduthuri_Thiruviz_D (Tamil Nadu)
IND614018AAA,Mannargudi_Vadasari_D (Tamil Nadu)
IND581119AAB,Ukkadagatri_Tuminkte_D (Karnataka)
IND201301AAL,Dadri_ICDCant_D (Uttar Pradesh)
IND121002AAB,Faridabad_Mthurard_L (Haryana)
IND110064AAA,Delhi_Mayapuri_PC (Delhi)
IND713148AAA,Panagarh_Central_D_1 (West Bengal)
IND731204AAB,Bolpur_WebelDPP_D (West Bengal)
IND731301AAA,Nanoor_Central_DPP_1 (West Bengal)
IND110052AAA,Delhi_Wazirpur_L (Delhi)
IND534001AAA,Eluru_Agraharm_DC (Andhra Pradesh)
IND521333AAA,Kaikaluru_Atapaka_D (Andhra Pradesh)
IND515004AAA,Anantapur_KamaStrt_I (Andhra Pradesh)
IND515671AAA,Dharmavram_SaiNgr_D (Andhra Pradesh)
IND515591AAA,Kadiri_GVManu_D (Andhra Pradesh)
